epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.659,2.11994,3.29605,1.92838,0.22552,0.23017,0.14858,0.05057,2.20384,2.71469,2.10727,0.000416325,0.000416325,0.000416325
2,1027.29,2.08602,2.7293,1.8988,0.24431,0.25279,0.17934,0.06438,2.12182,2.49757,2.00513,0.000816499,0.000816499,0.000816499
3,1242.4,2.05578,2.62911,1.88157,0.28001,0.2611,0.2127,0.0816,2.0863,2.47448,1.98336,0.00120017,0.00120017,0.00120017
4,1456.93,2.01576,2.52374,1.84886,0.31221,0.30571,0.2489,0.09697,2.02275,2.34851,1.89849,0.00117575,0.00117575,0.00117575
5,2714.52,1.99586,2.44178,1.81905,0.36875,0.34829,0.29602,0.118,1.95129,2.23702,1.86905,0.001151,0.001151,0.001151
6,4498.59,1.95003,2.37799,1.78033,0.34751,0.33996,0.28699,0.12102,1.9456,2.1946,1.84456,0.00112625,0.00112625,0.00112625
7,4689.89,1.93382,2.34921,1.77187,0.36728,0.3547,0.31406,0.12651,1.93649,2.21975,1.86344,0.0011015,0.0011015,0.0011015
8,4872.03,1.92231,2.30419,1.76513,0.39587,0.38219,0.33621,0.13858,1.91792,2.11193,1.84404,0.00107675,0.00107675,0.00107675
9,5057.34,1.89012,2.2696,1.74462,0.3881,0.39949,0.34685,0.14539,1.90382,2.10105,1.85871,0.001052,0.001052,0.001052
10,5245.34,1.88059,2.22525,1.72639,0.42483,0.38791,0.36106,0.1543,1.89139,2.05762,1.78394,0.00102725,0.00102725,0.00102725
11,5430.76,1.87606,2.20676,1.72558,0.39814,0.40536,0.3626,0.14897,1.87623,2.04749,1.78133,0.0010025,0.0010025,0.0010025
12,5610.67,1.87118,2.17719,1.71336,0.43785,0.38436,0.36778,0.1591,1.86648,2.00079,1.7781,0.00097775,0.00097775,0.00097775
13,5792.14,1.85408,2.15247,1.69402,0.45064,0.40992,0.39463,0.17154,1.85862,1.97563,1.75089,0.000953,0.000953,0.000953
14,5976.97,1.84321,2.13467,1.70327,0.4591,0.42321,0.39846,0.16926,1.85076,1.96918,1.74236,0.00092825,0.00092825,0.00092825
15,6222.09,1.83594,2.11668,1.68593,0.47666,0.44131,0.41397,0.17457,1.87163,1.94885,1.74973,0.0009035,0.0009035,0.0009035
16,6682.54,1.82873,2.0913,1.68592,0.47426,0.43716,0.41628,0.17884,1.84932,1.91482,1.73262,0.00087875,0.00087875,0.00087875
17,10425.6,1.82535,2.07795,1.67734,0.46263,0.45405,0.42877,0.18782,1.82068,1.90407,1.72097,0.000854,0.000854,0.000854
18,10844.1,1.80926,2.04698,1.665,0.48448,0.44982,0.43199,0.19189,1.82703,1.87709,1.70842,0.00082925,0.00082925,0.00082925
19,11356.4,1.79669,2.04028,1.65966,0.47058,0.45404,0.42271,0.18609,1.83863,1.86449,1.73981,0.0008045,0.0008045,0.0008045
20,11885.6,1.79881,2.01421,1.65392,0.48517,0.45198,0.42442,0.18569,1.83013,1.88101,1.71918,0.00077975,0.00077975,0.00077975
21,12316.3,1.79084,2.00384,1.64785,0.50157,0.44441,0.44376,0.1999,1.80962,1.83658,1.72697,0.000755,0.000755,0.000755
22,12582,1.78266,1.99805,1.64674,0.49963,0.45268,0.46079,0.20692,1.80694,1.84389,1.71155,0.00073025,0.00073025,0.00073025
23,12955,1.77581,1.97768,1.63585,0.48994,0.45906,0.45147,0.2008,1.80905,1.81634,1.71152,0.0007055,0.0007055,0.0007055
24,13427.4,1.77279,1.95464,1.62532,0.51705,0.46576,0.4652,0.20611,1.79898,1.78705,1.697,0.00068075,0.00068075,0.00068075
