epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.445,2.12112,2.98155,1.97598,0.18555,0.26344,0.14949,0.0529,2.17365,2.95893,2.13944,0.000416325,0.000416325,0.000416325
2,481.374,2.11266,2.67308,1.93818,0.31317,0.26787,0.19684,0.07004,2.135,2.59408,2.04007,0.000816499,0.000816499,0.000816499
3,714.952,2.05929,2.59373,1.90036,0.28914,0.31506,0.24512,0.09373,2.02724,2.39916,1.94043,0.00120017,0.00120017,0.00120017
4,949.707,2.01927,2.50157,1.87112,0.3484,0.33044,0.27901,0.1125,2.01723,2.26212,1.92794,0.00117575,0.00117575,0.00117575
5,1181.29,1.97943,2.40234,1.83803,0.39463,0.35561,0.31205,0.12589,1.94736,2.23855,1.90636,0.001151,0.001151,0.001151
6,1408.45,1.94506,2.323,1.79489,0.39571,0.36362,0.32828,0.13949,1.9398,2.13694,1.86153,0.00112625,0.00112625,0.00112625
7,1637.4,1.91614,2.28431,1.77109,0.39614,0.3831,0.32965,0.13672,1.91376,2.17863,1.84237,0.0011015,0.0011015,0.0011015
8,1867.51,1.90138,2.23084,1.75007,0.41468,0.42147,0.38421,0.15939,1.90296,2.02998,1.82161,0.00107675,0.00107675,0.00107675
9,2099.97,1.87949,2.20671,1.73904,0.42702,0.41118,0.38115,0.16025,1.91469,2.00488,1.83946,0.001052,0.001052,0.001052
10,2327.96,1.86458,2.16389,1.72307,0.44038,0.43849,0.39134,0.1642,1.9101,1.97563,1.82121,0.00102725,0.00102725,0.00102725
11,2565.25,1.85428,2.13701,1.72029,0.44374,0.40918,0.39179,0.16615,1.867,1.97251,1.77641,0.0010025,0.0010025,0.0010025
12,2801.63,1.84559,2.10233,1.705,0.45514,0.41125,0.39239,0.16984,1.86343,1.96365,1.78019,0.00097775,0.00097775,0.00097775
13,3033.17,1.83013,2.07658,1.69665,0.46123,0.43901,0.41659,0.17778,1.86126,1.91248,1.76873,0.000953,0.000953,0.000953
14,3264.8,1.81708,2.05745,1.69591,0.49916,0.4399,0.42801,0.18063,1.8567,1.92264,1.7664,0.00092825,0.00092825,0.00092825
15,3521.22,1.80335,2.03943,1.6842,0.46703,0.44513,0.4292,0.18687,1.84151,1.86789,1.74593,0.0009035,0.0009035,0.0009035
16,3783.68,1.80697,2.02057,1.67902,0.4762,0.43957,0.42673,0.18559,1.83517,1.8846,1.74199,0.00087875,0.00087875,0.00087875
17,4170.44,1.79514,1.99687,1.66713,0.49579,0.45481,0.44954,0.19823,1.82973,1.82434,1.73477,0.000854,0.000854,0.000854
18,268.156,1.77708,1.96291,1.65638,0.49334,0.47734,0.46395,0.2039,1.83286,1.81951,1.75204,0.00082925,0.00082925,0.00082925
19,537.145,1.76707,1.95532,1.64936,0.50465,0.47335,0.47268,0.20776,1.83143,1.78483,1.73273,0.0008045,0.0008045,0.0008045
20,995.787,1.75639,1.92528,1.64338,0.50082,0.4997,0.47553,0.21313,1.81607,1.77171,1.70775,0.00077975,0.00077975,0.00077975
